hh_pop_rep_num,hh_pop_repeat_grp-hh_intro,hh_pop_repeat_grp-person_number,hh_pop_repeat_grp-person_gender,hh_pop_repeat_grp-person_age,hh_pop_repeat_grp-head_person,PARENT_KEY,KEY
1,,,no_answer,998,N,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
2,,,no_answer,640,no_answer,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]
3,,,F,40,no_answer,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3,uuid:e225e5a3-119b-4742-b9f8-e84b5056e5b3/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]
1,,,F,175,no_answer,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4,uuid:d8f4c770-6271-4bc9-bed6-785bad632bc4/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
1,,,M,781,Y,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
2,,,no_answer,75,no_answer,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d,uuid:47a2e359-1608-4bdf-ae92-0a379fe0cc7d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]
1,,,F,662,Y,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
2,,,M,179,Y,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]
3,,,M,67,no_answer,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]
4,,,F,982,Y,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]
5,,,F,821,N,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b,uuid:f32b7b5b-afb1-4d54-b5b1-834e342d565b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]
1,,,M,74,no_answer,uuid:b9d098df-6fc8-4540-814b-4862a1361b02,uuid:b9d098df-6fc8-4540-814b-4862a1361b02/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
1,,,no_answer,155,no_answer,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
2,,,F,936,N,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98,uuid:a5868d85-1463-45ef-98f0-91e399a4dc98/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]
1,,,no_answer,861,no_answer,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]
2,,,F,874,N,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]
3,,,F,654,Y,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66,uuid:ab768f40-e0e0-4fa3-8ddd-d1818f656e66/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]
